,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
 3 -  56/1,ROCHESTER STREET/O.Q.W....(EBL),417,45.40333,-75.708545,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1962,1984,,1,Total=19  (1)=19;,21.2,19.1,Eastern,CARLETON,Open to traffic,Provincial,06/08/2013,65.7,65.7,,67.2,,68.7,,69.8,,70.9,,,,81.1,
 3 -  56/2,ROCHESTER STREET/O.Q.W....(WBL),417,45.403455,-75.708622,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1962,1984,,1,Total=19  (1)=19;,21.2,19.1,Eastern,CARLETON,Open to traffic,Provincial,06/08/2013,65.5,65.5,,68.2,,68.4,,69.4,,72,,,,81.4,
 3 -  57/1,BOOTH STREET/O.Q.W........(EBL),417,45.403627,-75.707016,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1962,1984,,1,Total=21.1  (1)=21.1;,21.2,20.6,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,67,67,,67.4,,69.4,,70.2,,70.9,,,,76.5,
 3 -  57/2,BOOTH STREET/O.Q.W........(WBL),417,45.403762,-75.707106,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=21.1  (1)=21.1;,21.1,20.6,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,68.7,68.7,,70,,70.7,,71.1,,71.2,,,,77,
 3 -  60/1,BRONSON AVENUE/O.Q.W......(EBL),417,45.404836,-75.701908,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=27.2  (1)=27.2;,27.2,19.5,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,68.5,68.5,,67.9,,69.9,,71.4,,72.7,,,,73,
 3 -  60/2,BRONSON AVENUE/O.Q.W......(WBL),417,45.404964,-75.701989,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1962,1985,,1,Total=27.2  (1)=27.2;,27.2,19.5,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,64.6,64.6,,69.4,,70.4,,71.8,,73.1,,,,72.9,
 3 -  61/1,"PERCY STREET OPS, EBL",417,45.405883,-75.698563,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1962,1985,,1,Total=21  (1)=21;,21,22.8,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,71,71,,71.1,,71.4,,71.9,,72.2,,,,,
 3 -  61/2,"PERCY STREET OPS, WBL",417,45.405983,-75.698636,Bridge,Beam/Girder,Box Beam,Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=18  (1)=18;,21,23.9,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,71.2,71.2,,71.2,,71.5,,71.9,,72.4,,,,,
 3 -  62/1,KENT STREET/O.Q.W.........(EBL),417,45.408014,-75.693308,Bridge,Beam/Girder,Box Beam,Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=18  (1)=18;,20.2,15.4,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,66.7,66.7,,68.9,,68.8,,69.4,,72.4,,,,75,
 3 -  62/2,KENT STREET/O.Q.W.........(WBL),417,45.408158,-75.693322,Bridge,Beam/Girder,Box Beam,Reinforced Cast-In-Place Concrete,1962,1985,,1,Total=18;  (1)=18;,20.5,19.1,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,64.6,64.6,,66.8,,66.7,,68.3,,71.3,,,,75,
 3 -  63/1,BANK STREET/O.Q.W.........(EBL),417,45.408797,-75.691681,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1962,1985,,1,Total=21.4;  (1)=21.4;,21.4,17.8,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,69.5,69.5,,71.4,,71.6,,72.7,,73,,,,73.4,
 3 -  63/2,BANK STREET/O.Q.W.........(WBL),417,45.408914,-75.691758,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=21.4;  (1)=21.4;,21.4,19.4,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,68.6,68.6,,71,,71.6,,72.3,,72.7,,,,73.4,
 3 -  64/,O'Connor Street OPS / O.Q.W.,417,45.410139,-75.689017,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=21;  (1)=21;,21,31.1,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,68.8,68.8,,68.8,,69.1,,71.8,,71.9,,,,77.9,
 3 -  65/,Metcalfe Street OPS / O.Q.W.,417,45.410956,-75.687142,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=21;  (1)=21;,21,31.6,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,69.8,69.8,,69.8,,71,,72.7,,73.4,,,,78.1,
 3 -  66/1,ELGIN STREET/O.Q.W........(EBL),417,45.411692,-75.685008,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1965,1985,,1,Total=23.9;  (1)=23.9;,23.9,20,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,66.5,66.5,,67.8,,68.9,,70.4,,72.7,,,,75.3,
 3 -  66/2,ELGIN STREET/O.Q.W........(WBL),417,45.41179,-75.685097,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1963,1985,,1,Total=23.9;  (1)=23.9;,23.9,20,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,66,66,,66.7,,66.7,,69.6,,71.4,,,,75.4,
 3 -  67/1,BRIDGE NO. 24 AT RIDEAU CANAL EBL,417,45.412243,-75.683441,Bridge,Beam/Girder,T Beam,Prestressed Precast Concrete,1963,1985,,3,Total=122.1  (1)=40.5;(2)=40.8;(3)=40.8;,122.6,21.5,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,70,70,,70.1,,70.3,,71.2,,70.8,,,,73.4,
 3 -  67/2,BRIDGE NO. 24 AT RIDEAU CANAL WBL,417,45.412371,-75.683399,Bridge,Frame,"Rigid Frame, T Beam",Prestressed Precast Concrete,1963,1985,,3,Total=121.8  (1)=40.5;(2)=40.8;(3)=40.5;,122.6,21.5,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,70.1,70.1,,70.2,,70.4,,72.2,,71.9,,,,72.9,
 3 -  68/1,"MAIN STREET OPS, EBL",417,45.413286,-75.680489,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1963,1985,,1,Total=19.21  (1)=19.21;,21.2,19.2,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,70.4,70.4,,70.5,,71.7,,72.5,,72.9,,,,,
 3 -  68/2,"MAIN STREET OPS, WBL",417,45.413375,-75.680542,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1959,1987,,1,Total=21.1  (1)=21.1;,21.2,19.2,Eastern,CARLETON,Open to traffic,Provincial,06/09/2013,69.3,69.3,,70,,71.1,,72.4,,72.8,,,,,
 3 -  69/,ALTA VISTA DRIVE/O.Q.W.........,417,45.417634,-75.656591,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,2013,1997,2,Total=54  (1)=27;(2)=27;,55.9,22.3,Eastern,CARLETON,Open to traffic,Provincial,10/10/2013,65.2,65.2,,65.2,,64.2,,66.2,,68.7,,71,,72.2,
 3 -  71/,BELFAST RAOD UNDERPASS/OQW,417,45.419439,-75.647116,Bridge,Beam/Girder,Rolled I Beam,Steel,1986,2013,,2,Total=48  (1)=24;(2)=24;,48.9,12.5,Eastern,CARLETON,Open to traffic,Provincial,10/10/2013,66.9,66.9,,66.9,,66.9,,68.7,,71.4,,68.8,,72.4,
 3 -  72/1,ST LAURENT BLVD/O.Q.W.....(EBL),417,45.420217,-75.634967,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1986,2013,,2,Total=38  (1)=22;(2)=16;,38,22,Eastern,CARLETON,Open to traffic,Provincial,10/10/2013,74.5,74.5,,74.5,,74.7,,74.8,,75.6,,77.8,,89.2,
 3 -  72/2,ST LAURENT BLVD/O.Q.W.....(WBL),417,45.420361,-75.635047,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1986,2013,,2,Total=38  (1)=22;(2)=16;,38,22,Eastern,CARLETON,Open to traffic,Provincial,10/10/2013,74.6,74.6,,74.6,,74.8,,74.9,,76,,80.5,,89.2,
 3 -  73/1,RIDEAU RIVER (HURDMAN)    (EBL),417,45.416918,-75.663017,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1955,2013,1986,5,Total=157.1;  (1)=25.9;(2)=35.1;(3)=35.1;(4)=35.1;(5)=25.9;,157,18.4,Eastern,CARLETON,Open to traffic,Provincial,12/10/2013,70.5,70.5,,70.5,,71.1,,0,,71.4,,72.3,,74.5,
 3 -  73/2,RIDEAU RIVER (HURDMAN)    (WBL),417,45.417023,-75.663028,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1958,2013,1986,5,Total=157.1;  (1)=25.9;(2)=35.1;(3)=35.1;(4)=35.1;(5)=25.9;,157,18.4,Eastern,CARLETON,Open to traffic,Provincial,12/10/2013,72.1,72.1,,72.1,,72.7,,72.7,,72.7,,,,74.3,
 3 - 129/,CYRVILLE RD. BR. UP,417,45.422069,-75.624811,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,2011,2013,,3,Total=93.7  (1)=20.2;(2)=33;(3)=40.5;,92.7,24.8,Eastern,CARLETON,Open to traffic,Provincial,10/10/2013,54.7,54.7,,54.7,,54.7,,58.7,,63.9,,,68.3,,70.7
 3 - 224/,NICHOLAS STREET UNDERPASS/OQW,417,45.416415,-75.673776,Bridge,Beam/Girder,Plate I Girder,Steel,1966,2013,,3,Total=77  (1)=23;(2)=31;(3)=23;,77.3,23.5,Eastern,CARLETON,Open to traffic,Provincial,12/10/2013,70,70,,70,,69.4,,70.3,,72.2,,66.3,,,
 3 - 225/,LEES AVENUE UNDERPASS/QEW,417,45.417225,-75.669075,Bridge,Beam/Girder,Plate I Girder,Steel,1968,2013,2011,3,Total=88  (1)=25;(2)=38;(3)=25;,87.9,15.5,Eastern,CARLETON,Open to traffic,Provincial,10/10/2013,70.1,70.1,,70.1,,70.1,,71,,71.6,,68.8,,72.4,
 3 - 256/1,MOODIE DR. INTERCHANGE NBL,417,45.338476,-75.841224,Bridge,Slab,Circular Voided Slab,Reinforced Cast-In-Place Concrete,1968,2007,1973,3,Total=78  (1)=29;(2)=20;(3)=29;,80.3,13.9,Eastern,CARLETON,Open to traffic,Provincial,11/06/2013,81.3,81.3,,90,,0,,67.7,,67.7,,70.7,,77.2,
 3 - 256/2,MOODIE DR. INTER. SBL,417,45.338407,-75.841433,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1968,2007,1973,3,Total=78  (1)=29;(2)=20;(3)=29;,80.3,13.9,Eastern,CARLETON,Open to traffic,Provincial,11/06/2013,77.2,77.2,,75.7,,0,,67.7,,67.7,,70.3,,86.5,
 3 - 257/1,CNR OVERHEAD/OQW----------(EBL),417,45.332313,-75.855935,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2008,,,3,Total=44  (1)=13;(2)=18;(3)=13;,44.9,28.9,Eastern,CARLETON,Open to traffic,Provincial,11/06/2013,93.6,93.6,,99.7,,73.7,,74.3,,74.3,,74.4,,86.9,
 3 - 257/2,CNR OVERHEAD/OQW----------(WBL),417,45.33255,-75.856436,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1975,2008,1996,3,Total=46  (1)=15;(2)=16;(3)=15;,45.6,20.7,Eastern,CARLETON,Open to traffic,Provincial,11/06/2013,74.9,74.9,,75.6,,0,,72,,72,,69.7,,77.9,
 3 - 260/,EAGLESON ROAD UNDERPASS........,417,45.320389,-75.885925,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1975,2013,,2,Total=106  (1)=53;(2)=53;,108.3,25.2,Eastern,CARLETON,Open to traffic,Provincial,12/12/2013,66.7,66.7,,66.7,,68.2,,70.6,,68.5,,69.6,,90,
 3 - 264/1,RIDEAU RIVER BR. (N.B.L.),416,45.082812,-75.637747,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1973,2003,2011,5,Total=291.3  (1)=53.3;(2)=61;(3)=61;(4)=61;(5)=55;,289.6,11,Eastern,CARLETON,Open to traffic,Provincial,10/22/2013,73.5,73.5,,73.8,,73.9,,74.5,,77.4,,78.8,,67.9,
 3 - 264/2,RIDEAU RIVER BRIDGE (S.B.L.),416,45.082487,-75.637793,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1997,,,5,Total=289  (1)=53;(2)=61;(3)=61;(4)=61;(5)=53;,289,11.9,Eastern,CARLETON,Open to traffic,Provincial,10/22/2013,80.9,80.9,,74.6,,82.9,,90.5,,93.8,,95.7,,99.4,
 3 - 265/1,RAMSAY CK. E.B.L.,417,45.373475,-75.566268,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1970,1987,,5,Total=93  (1)=18;(2)=18;(3)=21;(4)=18;(5)=18;,93.9,11,Eastern,CARLETON,Open to traffic,Provincial,06/01/2012,69.3,,69.3,,68.8,,69.2,,71.3,,71.7,,72.1,,94.8
 3 - 265/2,RAMSAY CR. W.B.L.,417,45.374138,-75.565951,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1973,1974,,5,Total=93  (1)=18;(2)=18;(3)=21;(4)=18;(5)=18;,93.9,12.6,Eastern,CARLETON,Open to traffic,Provincial,06/19/2012,69.2,,69.2,,72.2,,71.9,,71.6,,72.3,,74,,96.6
 3 - 266/1,BEAR BROOK BR.  E.B.L.,417,45.361574,-75.484887,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1969,,,5,Total=96  (1)=18;(2)=18;(3)=21;(4)=21;(5)=18;,97.6,11,Eastern,CARLETON,Open to traffic,Provincial,06/01/2012,58.5,,58.5,,63.6,,64.3,,0,,67.4,71.2,,,93.9
 3 - 266/2,BEAR BROOK BR. W.B.L.,417,45.36295,-75.485939,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,1974,,6,Total=120  (1)=18;(2)=21;(3)=21;(4)=21;(5)=21;(6)=18;,122.6,11,Eastern,CARLETON,Open to traffic,Provincial,06/01/2012,62.4,,62.4,,62.7,,62.7,,67.4,,70.2,68.1,,,91.8
 3 - 267/,ANDERSON ROAD UNDERPASS........,417,45.369261,-75.539203,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,2010,,12,Total=318  (1)=24;(2)=27;(3)=27;(4)=27;(5)=27;(6)=29;(7)=23;(8)=29;(9)=27;(10)=27;(11)=27;(12)=24;,323.6,11,Eastern,CARLETON,Open to traffic,Provincial,07/13/2012,76.9,,76.9,,70.9,,71,,69.9,,70.4,74.1,,,95.1
 3 - 268/,7TH LINE RD. U/P,417,45.366311,-75.521011,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,1985,,9,Total=224  (1)=24;(2)=27;(3)=27;(4)=25;(5)=18;(6)=25;(7)=27;(8)=27;(9)=24;,228,11,Eastern,CARLETON,Open to traffic,Provincial,06/20/2012,73.2,,73.2,,73.3,,73.4,,73.8,,72.1,74.2,,,95.3
 3 - 269/,8TH LINE RD. U/P,417,45.360331,-75.477131,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,1981,,7,Total=163  (1)=15;(2)=26;(3)=27;(4)=27;(5)=27;(6)=26;(7)=15;,167,11,Eastern,CARLETON,Open to traffic,Provincial,06/21/2012,67.9,,67.9,,68.2,,68.3,,67.8,,69.8,73.5,,,96.2
 3 - 270/,BOUNDARY RD. INT. U/P,417,45.349806,-75.445792,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1970,2012,,11,Total=288  (1)=24;(2)=27;(3)=27;(4)=27;(5)=27;(6)=24;(7)=27;(8)=27;(9)=27;(10)=27;(11)=24;,294,11,Eastern,CARLETON,Open to traffic,Provincial,11/30/2012,67,,67,,67,,67.1,,54.9,,57.1,69.5,,,92.4
 3 - 287/,REG.RD.5 INTERCHANGE U'PASS,417,45.281139,-75.957172,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1976,2013,1981,2,Total=76  (1)=38;(2)=38;,77.4,15.5,Eastern,CARLETON,Open to traffic,Provincial,12/12/2013,66.8,66.8,,66.8,,71.5,,69.2,,69.9,,72.1,,93.6,
 3 - 288/,HWY 7 CONNECTION INTERCH U'PASS,417,45.272083,-75.973611,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1974,2000,,2,Total=100  (1)=48;(2)=52;,115.8,11.3,Eastern,CARLETON,Open to traffic,Provincial,10/01/2013,70.3,70.3,,71.9,,69.2,,68.2,,72.6,,70.4,,82,
 3 - 289/,TERRY FOX DRIVE UNDERPASS,417,45.305572,-75.911736,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1976,2006,,2,Total=82  (1)=41;(2)=41;,80.7,23,Eastern,CARLETON,Open to traffic,Provincial,11/06/2013,76.9,76.9,,77.8,,74.5,,75,,70.5,,70.5,,90.4,
 3 - 290/1,CARP R. BR. EBL.,417,45.301133,-75.922606,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1976,2013,,1,Total=19.3  (1)=19.3;,19.3,23,Eastern,CARLETON,Open to traffic,Provincial,12/12/2013,60.9,60.9,,60.9,,60.3,,64.3,,67.3,,68.2,,86.8,
 3 - 290/2,CARP R. BR. WBL,417,45.301461,-75.922878,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1976,2013,,1,Total=19.3  (1)=19.3;,19.3,23,Eastern,CARLETON,Open to traffic,Provincial,12/12/2013,63.7,63.7,,63.7,,61.9,,61.9,,67,,67.4,,83.4,
 3 - 291/,U/P AT MARCH-HUNTLEY TWP. LINE,417,45.297567,-75.931269,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1978,2013,,2,Total=70  (1)=35;(2)=35;,70.8,10.4,Eastern,CARLETON,Open to traffic,Provincial,12/12/2013,65.9,65.9,,65.9,,65.9,,66.1,,67.4,,69.6,,92.1,
 3 - 301/1,CNR OVERHEAD/HWY #417     (EBL),417,45.390219,-75.592156,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,,,5,Total=71  (1)=10;(2)=17;(3)=17;(4)=17;(5)=10;,73.5,13.5,Eastern,CARLETON,Open to traffic,Provincial,10/12/2012,72.3,,72.3,,72.6,,72.9,,73.1,,73.1,,73.6,,93.1
 3 - 301/2,CNR OVERHEAD/HWY #417     (WBL),417,45.389708,-75.590098,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,,,5,Total=73  (1)=11;(2)=17;(3)=17;(4)=17;(5)=11;,72.2,12.9,Eastern,CARLETON,Open to traffic,Provincial,07/25/2012,68.1,,68.1,,69.8,,70.2,,71.7,,73.5,,72.7,,93
 3 - 302/1,CPR/CNR OVERHEAD-HWY #417 (EBL),417,45.411638,-75.601559,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1974,,,4,Total=78  (1)=20;(2)=19;(3)=19;(4)=20;,79.1,20.5,Eastern,CARLETON,Open to traffic,Provincial,03/23/2012,68.7,,68.7,,68.8,,69.4,,72.7,,73,,74.3,,96.1
 3 - 302/2,CPR/CNR OVERHEAD-HWY #417 (WBL),417,45.411755,-75.600978,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1975,,,3,Total=64  (1)=20;(2)=24;(3)=20;,65.7,17.4,Eastern,CARLETON,Open to traffic,Provincial,07/26/2012,69.9,,69.9,,71.2,,71.9,,72,,74.8,,73.8,,94.2
 3 - 303/,EASTERN PARKWAY BRIDGE        *,417,45.422994,-75.621594,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1974,,,6,Total=229  (1)=24;(2)=36;(3)=37;(4)=45;(5)=48;(6)=39;,230.1,13.7,Eastern,CARLETON,Open to traffic,Provincial,10/12/2012,73.7,,73.7,,73.7,,73.9,,74.1,73.6,,,73.9,,96.4
 3 - 304/1,EASTERN PARKWAY OPASS MAIN FREEWAY WBL AND START OF OFF-RAMP,417,45.42339,-75.618874,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1974,,,3,Total=82  (1)=22;(2)=38;(3)=22;,93.7,11,Eastern,CARLETON,Open to traffic,Provincial,08/29/2012,66.8,,66.8,,72.2,,72.4,,72.5,71.2,,,74.5,,96.2
 3 - 304/2,EASTERN PARKWAY OPASS WBL Off-Ramp Structure,417,45.423766,-75.621229,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,1996,,3,Total=99  (1)=28;(2)=43;(3)=28;,103.6,12.8,Eastern,CARLETON,Open to traffic,Provincial,07/10/2012,68.6,,68.6,,72,,72.7,,72.8,73.4,,,74,,94.8
 3 - 305/,INNES ROAD UNDERPASS.         *,417,45.414046,-75.610082,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,,,2,Total=86  (1)=43;(2)=43;,85.3,22.3,Eastern,CARLETON,Open to traffic,Provincial,07/05/2012,70.4,,70.4,,71.8,,72.5,,72.2,,68.9,,72.6,,93.5
 3 - 306/,WAKLEY ROAD UNDERPASS         *,417,45.398111,-75.592833,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1975,1996,,2,Total=84  (1)=42;(2)=42;,83.1,31.2,Eastern,CARLETON,Open to traffic,Provincial,07/05/2012,69.3,,69.3,,70.5,,70.7,,69.4,,65.6,,72.7,,92.4
 3 - 310/,GREEN CRK. UNDER NB RAMP,417,45.413961,-75.606822,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1973,1996,,1,Total=27  (1)=27;,27.4,11.8,Eastern,CARLETON,Open to traffic,Provincial,07/10/2012,66.7,,66.7,,66.8,,69.5,,71.3,,74.7,,74.6,,92.7
 3 - 311/1,GREEN CK UNDER HWY 417 E.B.L.,417,45.412967,-75.607557,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1973,1996,,1,Total=24  (1)=24;,24.4,30.5,Eastern,CARLETON,Open to traffic,Provincial,08/28/2012,69.6,,69.6,,72.9,,73.6,,73.7,,74.4,,74.4,,94
 3 - 311/2,GREEN CK. UNDER HWY 417 WBL.,417,45.413322,-75.607398,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1973,,,1,Total=24  (1)=24;,25.3,17.3,Eastern,CARLETON,Open to traffic,Provincial,08/28/2012,72.3,,72.3,,73.5,,73.7,,73.7,,73.6,,74.7,,94.3
 3 - 314/,CYRVILLE ROAD U'PASS,417,45.418711,-75.613636,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,,,2,Total=102  (1)=51;(2)=51;,102.4,12.8,Eastern,CARLETON,Open to traffic,Provincial,07/13/2012,66,,66,,66.3,,66.5,,72.4,68.1,,,71.2,,91.5
 3 - 355/1,CRANBERRY CREEK (N.B.L.),416,45.113277,-75.670787,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1982,,,1,Total=8.1  (1)=8.1;,8.1,14.5,Eastern,CARLETON,Open to traffic,Provincial,10/25/2013,71.2,71.2,,71.6,,71.7,,71.3,,72.7,,73.3,,79.6,
 3 - 355/2,CRANBERRY CREEK (S.B.L.),416,45.113036,-75.670995,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1997,,,1,Total=6.4  (1)=6.4;,6.4,13,Eastern,CARLETON,Open to traffic,Provincial,10/25/2013,77.3,77.3,,77.7,,81,,85.4,,89.6,,92.1,,97.7,
 3 - 356/1,STEVEN CREEK BRIDGE (N.B.L.),416,45.157033,-75.685028,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1983,,,1,Total=23  (1)=23;,23,13.5,Eastern,CARLETON,Open to traffic,Provincial,10/25/2013,71.8,71.8,,72.8,,72.8,,73.8,,74.8,,74.7,,74.4,
 3 - 356/2,STEVEN CREEK BRIDGE (S.B.L.),416,45.156843,-75.685362,Bridge,Beam/Girder,Box Beam,Prestressed Precast Concrete,1998,,,1,Total=23  (1)=23;,23,13,Eastern,CARLETON,Open to traffic,Provincial,10/25/2013,74.8,74.8,,75,,75,,85,,88.6,,91.1,,95.8,
 3 - 357/,HIGHWAY 44  UNDERPASS,417,45.313011,-76.05685,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1992,,,2,Total=90  (1)=45;(2)=45;,91.3,15.4,Eastern,CARLETON,Open to traffic,Provincial,10/29/2013,73.9,73.9,,73.5,,73.3,,73.9,,81.1,,83,,93.3,
 3 - 358/1,MUD CREEK BRIDGE (N.B.L.),416,45.185284,-75.715733,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1983,,,1,Total=16  (1)=16;,16,13.5,Eastern,CARLETON,Open to traffic,Provincial,10/25/2013,73.8,73.8,,74,,74,,75.2,,74.8,,74.8,,76.5,
 3 - 358/2,MUD CREEK BRIDGE (S.B.L.),416,45.18502,-75.715909,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1996,,,1,Total=17  (1)=17;,17.3,13.5,Eastern,CARLETON,Open to traffic,Provincial,10/25/2013,74.1,74.1,,76.4,,77.9,,83.9,,88.1,,90.8,,97.6,
 3 - 531/,(#1) S-W RAMP OVER HWY. 417 (E.B.L.),417,45.342478,-75.817966,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1992,2013,,4,Total=159  (1)=35;(2)=48.6;(3)=42.4;(4)=33;,159,14,Eastern,CARLETON,Open to traffic,Provincial,09/15/2013,74.5,74.5,,74.8,,75.7,,76.8,,80.6,,79.3,,92.9,
 3 - 532/,E-S RAMP OVER HWY 417 (E.B.L.) UNDERPASS (#2),417,45.34325,-75.814481,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1992,2013,,3,Total=121  (1)=33;(2)=46;(3)=42;,121,14,Eastern,CARLETON,Open to traffic,Provincial,09/14/2013,73.9,73.9,,74.1,,74.1,,73.7,,86.8,,84.4,,97.9,
 3 - 533/,417 (E.B.L.) / Holly Acres Road,417,45.34402,-75.812542,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1992,2013,,2,Total=57.6  (1)=28.8;(2)=28.8;,57.6,16.5,Eastern,CARLETON,Open to traffic,Provincial,09/15/2013,73.3,73.3,,72.1,,71.8,,72.5,,83.4,,85.7,,98.5,
 3 - 534/,S-E RAMP OVER ACRES RD. OVERPASS (#4),417,45.343939,-75.812291,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1992,2013,,2,Total=54.3  (1)=26.7;(2)=27.6;,54.3,12,Eastern,CARLETON,Open to traffic,Provincial,09/15/2013,74.2,74.2,,74.5,,75.2,,75.2,,83.3,,85.3,,98.6,
